МОДЕЛЬ СЕГРЕГАЦИИ ШЕЛЛИНГА - РЕЗУЛЬТАТЫ
Размер сетки: 40×40
Количество агентов: 1200
Доля пустых клеток: 0.2
Терпимость: 0.60
Типов агентов: 2

ФИНАЛЬНАЯ СТАТИСТИКА
Конечное поколение: 24
Финальная сегрегация: 0.947
Всего перемещений: 1890

ИСТОРИЯ ПО ПОКОЛЕНИЯМ
Поколение    Перемещений     Индекс сегрегации   
1            577             0.630               
2            362             0.725               
3            230             0.791               
4            161             0.832               
5            111             0.856               
6            100             0.871               
7            81              0.887               
8            60              0.905               
9            44              0.914               
10           31              0.925               
11           23              0.929               
12           19              0.933               
13           15              0.936               
14           11              0.937               
15           8               0.938               
16           9               0.935               
17           9               0.938               
18           8               0.941               
19           8               0.940               
20           9               0.944               
21           5               0.944               
22           6               0.945               
23           3               0.947               
24           0               0.947               
